Country,Carrier,Technology,Year,Efficiency,OvernightCapitalCost,FixedCost,VariableCost,FuelCost
IDN,battery,lithium-ion,2023,1,471266.807,15000,2,0
IDN,battery,lithium-ion,2030,1,327923.183,10500,1.8,0
IDN,battery,lithium-ion,2050,1,229081.019,7350,1.6,0
IDN,bioenergy,biogas,2023,0.3,2450000,110580,0.13,0
IDN,bioenergy,biogas,2030,0.3,2080000,101700,0.12,0
IDN,bioenergy,biogas,2050,0.3,1840000,88500,0.1,0
IDN,bioenergy,biomass,2023,0.3,2280000,54000,3.4,0
IDN,bioenergy,biomass,2030,0.3,2070000,49700,3.13,0
IDN,bioenergy,biomass,2050,0.3,1820000,43200,2.72,0
IDN,coal,integrated-gasification-combined-cycle,2023,0.4,2730000,68400,13.7,6.30235692
IDN,coal,integrated-gasification-combined-cycle,2030,0.4,2510000,66300,13.3,6.30235692
IDN,coal,integrated-gasification-combined-cycle,2050,0.4,2320000,64300,12.9,6.30235692
IDN,coal,coal-ccs,2023,0.4,4770000,123000,22,6.30235692
IDN,coal,coal-ccs,2030,0.4,4290000,121800,21.78,6.30235692
IDN,coal,coal-ccs,2050,0.4,3430000,116900,21.12,6.30235692
IDN,coal,subcritical,2023,0.4,1880000,51600,1.5,6.30235692
IDN,coal,subcritical,2030,0.4,1820000,50000,1.45,6.30235692
IDN,coal,subcritical,2050,0.4,1760000,48550,1.4,6.30235692
IDN,coal,supercritical,2023,0.4,1600000,47000,1.4,6.30235692
IDN,coal,supercritical,2030,0.4,1550000,45600,1.35,6.30235692
IDN,coal,supercritical,2050,0.4,1500000,44100,1.3,6.30235692
IDN,coal,coal-ccs,2023,0.4,3840000,97000,3.1,6.30235692
IDN,coal,coal-ccs,2030,0.4,3460000,90200,2.9,6.30235692
IDN,coal,coal-ccs,2050,0.4,2770000,72800,2.6,6.30235692
IDN,coal,ultrasupercritical,2023,0.4,1730000,64500,1.25,6.30235692
IDN,coal,ultrasupercritical,2030,0.4,1680000,62500,1.2,6.30235692
IDN,coal,ultrasupercritical,2050,0.4,1630000,60600,1.15,6.30235692
IDN,gas,combined-cycle,2023,0.6,1090000,26800,2.6,10.728
IDN,gas,combined-cycle,2030,0.6,1040000,26000,2.5,10.728
IDN,gas,combined-cycle,2050,0.6,960000,25200,2.4,10.728
IDN,gas,gas-ccs,2023,0.7,2390000,59000,4.96,10.728
IDN,gas,gas-ccs,2030,0.7,2150000,50200,4.36,10.728
IDN,gas,gas-ccs,2050,0.7,1720000,37800,3.62,10.728
IDN,gas,open-cycle-gas-turbine,2023,0.4,1120000,26500,3.6,10.728
IDN,gas,open-cycle-gas-turbine,2030,0.4,1060000,25700,3.5,10.728
IDN,gas,open-cycle-gas-turbine,2050,0.4,990000,24900,3.4,10.728
IDN,geothermal,geothermal-binary-cycle,2023,,5500000,145000,0.39,0
IDN,geothermal,geothermal-binary-cycle,2030,,5500000,145000,0.39,0
IDN,geothermal,geothermal-binary-cycle,2050,,4950000,130500,0.35,0
IDN,geothermal,geothermal-flash-steam-unspecified,2023,,4400000,110000,0.27,0
IDN,geothermal,geothermal-flash-steam-unspecified,2030,,4400000,110000,0.27,0
IDN,geothermal,geothermal-flash-steam-unspecified,2050,,3960000,99000,0.24,0
IDN,hydro,hydro-unspecified,2023,0.75,2200000,43000,0.74,0
IDN,hydro,hydro-unspecified,2030,0.75,2110000,41000,0.71,0
IDN,hydro,hydro-unspecified,2050,0.75,1960000,38000,0.66,0
IDN,hydro,hydro-unspecified,2023,0.75,2700000,60400,0.57,0
